,AL,Random,Batch
0,0.6518518518518519,0.7851851851851852,0.8296296296296296
1,0.6888888888888889,0.762962962962963,0.8666666666666667
2,0.4148148148148148,0.45925925925925926,0.8296296296296296
3,0.7111111111111111,0.7185185185185186,0.7925925925925926
4,0.7777777777777778,0.8074074074074075,0.8518518518518519
5,0.6222222222222222,0.7333333333333333,0.8222222222222222
6,0.7777777777777778,0.725925925925926,0.8518518518518519
7,0.6222222222222222,0.7777777777777778,0.8444444444444444
8,0.6444444444444445,0.7851851851851852,0.837037037037037
9,0.6518518518518519,0.7333333333333333,0.8
