,AL,Random,Batch
0,0.8409090909090909,0.6818181818181818,0.8522727272727273
1,0.7885714285714286,0.7314285714285714,0.8057142857142857
2,0.7897727272727273,0.7727272727272727,0.8693181818181818
3,0.7142857142857143,0.8171428571428572,0.8628571428571429
4,0.7159090909090909,0.7727272727272727,0.8806818181818182
5,0.7142857142857143,0.7714285714285715,0.8285714285714286
6,0.7784090909090909,0.8238636363636364,0.8693181818181818
7,0.7142857142857143,0.7485714285714286,0.8971428571428571
8,0.7215909090909091,0.7386363636363636,0.8125
9,0.8171428571428572,0.7771428571428571,0.88
