,AL,Random,Batch
0,0.5067750677506775,0.462059620596206,0.502710027100271
1,0.4816326530612245,0.47346938775510206,0.5102040816326531
2,0.491869918699187,0.4986449864498645,0.5257452574525745
3,0.4748299319727891,0.4925170068027211,0.4965986394557823
4,0.5284552845528455,0.497289972899729,0.5121951219512195
5,0.4857142857142857,0.49795918367346936,0.49115646258503404
6,0.4986449864498645,0.5121951219512195,0.508130081300813
7,0.4748299319727891,0.5183673469387755,0.5183673469387755
8,0.5271002710027101,0.489159891598916,0.494579945799458
9,0.47619047619047616,0.4965986394557823,0.5183673469387755
